tabella|anno|funzione|descrizione|tr|a|ie|k
A|1995|RESIDENZIALE|Residenza (art. 7, 1°c, lett.a)|215992.00|70197.00|65|100
B|1995|TURISTICA|Ospitalità e ricettività alberghiera ..(art. 7, 1°c, lett.b)|205192.00|70197.00|75|100
C|1995|COMMERCIALE  DIREZIONALE|Distribuzione al dettaglio (art. 7, 1°c, lett.c) e uffici (art. 7, 1°c, lett.d)|302389.00|70197.00|75|100
D|1995|INDUSTRIALE|Industria, artigianato, movim. e distrib. all'ingrosso di merci (art.7,1°c,lett.e)|86397.00|0.00|100|100
E|1995|PARK DEPOSITI|Autorimesse, rimessaggi, depositi e simili (art. 7, 1°c, lett.f)|86397.00|0.00|100|100
F|1995|SERVIZI PRIVATI|Servizi di uso privato (art. 7, 1°c, lett.g)|161994.00|0.00|100|100
G|1995|TURISMO CONVENZIONATO|Turismo convenzionato (art. 15 bis)|154456.00|66931.00|100|100
H|1995|SERVIZI TURISTICI|Servizi Turistici (art. 15 bis)|77228.00|0.00|100|100
A|1997|RESIDENZIALE|Residenza (art. 7, 1°c, lett.a)|215992.00|70197.00|65|100
B|1997|TURISTICA|Ospitalità e ricettività alberghiera ..(art. 7, 1°c, lett.b)|205192.00|70197.00|75|100
C|1997|COMMERCIALE  DIREZIONALE|Distribuzione al dettaglio (art. 7, 1°c, lett.c) e uffici (art. 7, 1°c, lett.d)|302389.00|70197.00|75|100
D|1997|INDUSTRIALE|Industria, artigianato, movim. e distrib. all'ingrosso di merci (art.7,1°c,lett.e)|86397.00|0.00|100|100
E|1997|PARK DEPOSITI|Autorimesse, rimessaggi, depositi e simili (art. 7, 1°c, lett.f)|86397.00|0.00|100|100
F|1997|SERVIZI PRIVATI|Servizi di uso privato (art. 7, 1°c, lett.g)|161994.00|0.00|100|100
G|1997|TURISMO CONVENZIONATO|Turismo convenzionato (art. 15 bis)|154456.00|66931.00|100|100
H|1997|SERVIZI TURISTICI|Servizi Turistici (art. 15 bis)|77228.00|0.00|100|100
A|1998|RESIDENZIALE|Residenza (art. 7, 1°c, lett.a)|215992.00|70197.00|65|100
